CON-0125;TAPA PLASTICA TOMACORRIENTE;UND;;7.00;9;2;7;CONSUMIBLES;ACTIVO
CON-0126;TUBO ESTRUCTURAL CUAD HN 155X155X4.2MM;MTR;;0;3.5;3.5;0;CONSUMIBLES;ACTIVO
PIN-0043;TUBO RECT HP 2X1 CAL 0.90X6MTRS;UND;;0;6;6;0;PINTURA;ACTIVO
CON-0127;TUBO PVC 3/4 A/F X3MTRS;UND;;0;5;5;0;CONSUMIBLES;ACTIVO
CON-0128;TEE A/F 3/4;UND;;2.50;6;1;5;CONSUMIBLES;ACTIVO
CON-0129;"TUBO PVC A/N 2"" X3MTS";UND;;10.00;10;10;0;CONSUMIBLES;ACTIVO
CON-0130;"TUBO PVC A/N 4"" X3MTS";UND;;5.00;18;18;0;CONSUMIBLES;ACTIVO
HER-0039;"TUBO PVC A/N 1"" 3MTS";UND;;3.50;3;3;0;HERRAMIENTAS;ACTIVO
HER-0040;"TUBO PVC ELECTRICIDAD 1"" X3MTS";UND;;3.50;12;12;0;HERRAMIENTAS;ACTIVO
HER-0041;TUBO ESTRUCTURAL RECT HN 180X65X3.4MM;UND;;0;9;9;0;HERRAMIENTAS;ACTIVO
HER-0042;"TAPON 4""";UND;;3.52;1;1;0;HERRAMIENTAS;ACTIVO
CON-0131;TUBO A/N 110X2.2MMX3MTRS;UND;;21.51;16;16;0;CONSUMIBLES;ACTIVO
CON-0132;TUBO ELECTRICIDAD METAL EMT 3/4;UND;;3.50;35;35;0;CONSUMIBLES;ACTIVO
CON-0133;TUBO CUAD HN 100X100X3MMX12MTS;UND;;0;3;3;0;CONSUMIBLES;ACTIVO
CON-0134;TUBO ESTRUCTURAL RECT HN 80X40X2.5MM;UND;;0;82;82;0;CONSUMIBLES;ACTIVO
CON-0135;TOMA AREA METAL TRIFASICO CON TIERRA;UND;;9.02;1;1;0;CONSUMIBLES;ACTIVO
CON-0136;TORNILLOS DRYWALL 8X2;CAJA;;0.06;1900;1900;0;CONSUMIBLES;ACTIVO
CON-0137;TITEBOND DURAMASTER SELLADOR NEGRO;UND;;6.00;5;3;2;CONSUMIBLES;ACTIVO
ELE-0264;"TIRRO 1""";UND;;1.50;12;12;0;ELECTRICIDAD;ACTIVO
HER-0043;TOMA CORRIENTE DOBLE EMPOTRAR TIERRA TROEN;UND;;8.53;102;84;18;HERRAMIENTAS;ACTIVO
HER-0044;TABLA CEDRO M3;M3;;18.00;0.5;0.5;0;HERRAMIENTAS;ACTIVO
HER-0045;TOMA 2 POLOS + TIERRA;UND;;2.88;1;1;0;HERRAMIENTAS;ACTIVO
HER-0046;TEE PVC PEGADO 1/2 90 A/F;UND;;5.70;3;1;2;HERRAMIENTAS;ACTIVO
HER-0047;TUBO ESTRUC CUAD HN 100X100X2.8MM;UND;;0;3;3;0;HERRAMIENTAS;ACTIVO
PIN-0044;TUBO ESTRUC RECT 180X65X3.2MMX12MTRS;UND;;0;10;10;0;PINTURA;ACTIVO
HER-0048;"PASADOR SOBRE PLAT 3""";UND;;0;4;4;0;HERRAMIENTAS;ACTIVO
HER-0049;TUBO 90X90X4.30M;UND;;0;1;0;1;HERRAMIENTAS;ACTIVO
HER-0050;TUBO ESTRUCTURAL 150X2.40;UND;;0;2;0;2;HERRAMIENTAS;ACTIVO
HER-0051;TUBO ESTRUCTURAL 200X70;UND;;0;2;0;2;HERRAMIENTAS;ACTIVO
CON-0138;TUBO ESTRUCTURAL 150X168;UND;;0;7;0;7;CONSUMIBLES;ACTIVO
MAT-0114;TUBO ESTRUCTURAL 2.20X2.10;UND;;0;1;0;1;MATERIALES;ACTIVO
CON-0139;TUBOS ESTRUCTURALES 2X2;UND;;0;5;0;5;CONSUMIBLES;ACTIVO
PLO-0103;TUBOS ESTRUCTURALES 2X1;UND;;0;7;0;7;PLOMERIA;ACTIVO
PLO-0104;TUBOS PTP 1/2X6M-1X3M;UND;;0;2;0;2;PLOMERIA;ACTIVO
PLO-0105;TUBO HIERRO LIVIANO 6M;UND;;0;2;0;2;PLOMERIA;ACTIVO
PLO-0106;TUBO ESTRUCTURAL 180X70X5.90;UND;;0;2;0;2;PLOMERIA;ACTIVO
PLO-0107;"TAPA 4"" A/N";UND;;4.00;1;1;0;PLOMERIA;ACTIVO
PLO-0108;TIZA HERRERIA;UND;;1.00;5;5;0;PLOMERIA;ACTIVO
PLO-0109;TABLERO 4 CIRCUITOS;UND;;0;1;1;0;PLOMERIA;ACTIVO
PLO-0110;TUBERIA COBRE FLEXIBLE 3/4;MTR;;14.45;43;43;0;PLOMERIA;ACTIVO
PLO-0111;TUBERIA COBRE FLEXIBLE 3/8;MTR;;6.06;41;41;0;PLOMERIA;ACTIVO
PLO-0112;TUBO AISLANTE GOMA 3/4 PARED 3/8;MTR;;3.98;42;42;0;PLOMERIA;ACTIVO
PLO-0113;TUBO PVC A/F 3/4 X 6MTRS;UND;;10.42;2;2;0;PLOMERIA;ACTIVO
PLO-0114;TORNILLOS 8X5/8 PAQ 50UND;PAQ;;1.41;4;4;0;PLOMERIA;ACTIVO
PLO-0115;TIRRAP NYLON;UND;;5.42;1;1;0;PLOMERIA;ACTIVO
PLO-0116;TAPON EMT 1/2;UND;;0.60;12;12;0;PLOMERIA;ACTIVO
PLO-0117;TAPON 1 1/2 EMT;UND;;0.60;2;0;2;PLOMERIA;ACTIVO
PLO-0118;TAPA BRONCE VALVULA INCENDIO;UND;;0;2;2;0;PLOMERIA;ACTIVO
PLO-0119;"TEE PVC 1 1/2""";UND;;2.00;6;0;6;PLOMERIA;ACTIVO
PLO-0120;TORNILLOS DRIWALL 8X1;UND;;4.00;1;1;0;PLOMERIA;ACTIVO
PLO-0121;TORNILLOS DRIWALL 7X1 1/4;UND;;3.00;1;1;0;PLOMERIA;ACTIVO
PLO-0122;TIRRO VERDE PARA PINTOR 3/4;UND;;5.84;39;15;24;PLOMERIA;ACTIVO
PIN-0045;TINTAS SIN NOMBRE;UND;;0;5;0;5;PINTURA;ACTIVO
PIN-0046;"TUBOS AGUA BLANCA 1""";UND;;0;12;12;0;PINTURA;ACTIVO
HER-0052;TUBO ELECTRICIDAD 1/2;UND;;0;77;77;0;HERRAMIENTAS;ACTIVO
HER-0053;TUBO ELECTRICIDAD 3/4 X3MTS;UND;;0;7;7;0;HERRAMIENTAS;ACTIVO
MAT-0115;TOBOS ROJOS LIMPIEZA;UND;;8.00;19;0;19;MATERIALES;ACTIVO
CON-0140;TAPA CIEGA CUADRADA 4X4;UND;;2.00;67;65;2;CONSUMIBLES;ACTIVO
ELE-0265;TAPA CIEGA 5X5;UND;;2.50;2;0;2;ELECTRICIDAD;ACTIVO
HER-0054;TAPA CIEGA REDONDA;UND;;2.50;1;0;1;HERRAMIENTAS;ACTIVO
CON-0141;TAPA CIEGA CUADRADA METAL 4X4;UND;;2.50;29;27;2;CONSUMIBLES;ACTIVO
HER-0055;TAPA CIEGA REDONDA METAL;UND;;2.50;9;0;11;HERRAMIENTAS;ACTIVO
HER-0056;TAPAS DE POCETA;UND;;22.01;6;3;3;HERRAMIENTAS;ACTIVO
CON-0142;TIRADORES PARA PUERTA MADERA;UND;;1.52;0;0;0;CONSUMIBLES;ACTIVO
CON-0143;TACHUELAS;UND;;2.00;94;0;94;CONSUMIBLES;ACTIVO
CON-0144;TAPA OIDOS;UND;;5.00;96;0;96;CONSUMIBLES;ACTIVO
